lhs,relation,rhs
emulator,used-in,software-development
ens,is-a,not-important
epics,is-a,tool
epics,used-in,research
epics,used-in,scientific
epitech,is-a,organization
epitech,used-in,education
erlang,is-a,programming-language
es6,is-a,programming-language
eslint,is-a,linter
eslint,used-in,software-development
eslint,works-with,javascript
ethereum,is-a,platform
ethereum,used-in,blockchain
express,is-a,framework
express,used-in,webapp
express,used-in,mobile
express,works-with,javascript
f-droid,is-a,not-important
fabricmc,is-a,not-important
fantasy-console,is-a,game-engine
fantasy-console,used-in,game
fastify,is-a,framework
fastify,used-in,webapp
fastify,works-with,javascript
figma,is-a,tool
figma,used-in,visuals
figma,used-in,ui-ux
finite-element-method,is-a,not-important
firebase,is-a,platform
firebase,used-in,webapp
firebase,used-in,mobile
firefox,is-a,application
firefox,is-a,browser
firefox,used-in,internet
firefox-extension,is-a,addon
firefox-extension,used-in,firefox
first,is-a,organization
first,used-in,competition
first-robotics-competition,is-a,competition
first-tech-challenge,is-a,competition
fish,is-a,cli
fish,used-in,software-development
fish,works-with,linux
fish,works-with,macos
flask,is-a,framework
flask,used-in,webapp
flask,works-with,python
flutter,is-a,tool
flutter,used-in,desktop
flutter,used-in,mobile
flutter,used-in,webapp
flutter,used-for,ui-ux
flutter,used-for,visuals
font,used-in,visuals
fortran,is-a,programming-language
framework,used-in,software-development
freeswitch,is-a,under-revision
frontend,used-in,webapp
frontend,used-for,visuals
fsharp,is-a,programming-language
game-engine,is-a,framework
game-engine,used-in,game
game-jam,is-a,event
game-jam,used-in,game
game-off,is-a,game-jam
game-off,used-in,game
gamemaker,is-a,game-engine
gamemaker,used-in,game
garrysmod,is-a,application
garrysmod,is-a,game
gatsby,is-a,framework
gatsby,used-in,webapp
gatsby,used-in,mobile
generative-adversarial-network,used-in,ai
getting-things-done,is-a,not-important
gin,is-a,framework
gin,used-in,webapp
gin,works-with,go
git,is-a,vcs
git,used-in,software-development
github,is-a,vcs
github,used-in,software-development
github,works-with,git
github-api,is-a,api
github-api,works-with,github
global-game-jam,is-a,game-jam
global-game-jam,used-in,game
go,is-a,programming-language
godot,is-a,game-engine
godot,used-in,game
google,is-a,organization
google-cloud,is-a,platform
google-cloud,used-in,cloud-computing
gradescope,is-a,platform
gradescope,used-in,education
gradescope,used-for,grading
gradle,is-a,tool
gradle,used-in,software-development
gradle,used-for,automation
graphql,is-a,query-language
graphql,used-in,database
groovy,is-a,programming-language
guildwars2,is-a,application
guildwars2,is-a,game
gulp,is-a,tool
gulp,used-in,webapp
gulp,used-in,frontend
gulp,used-for,automation
hackathon,is-a,event
hacktoberfest,is-a,event
haskell,is-a,programming-language
haxe,is-a,programming-language
hms,is-a,not-important
home-assistant,used-in,iot
home-assistant,used-for,automation
homebrew,is-a,tool
homebrew,used-for,manage
homebrew,works-with,macos
homebridge,is-a,tool
homebridge,used-in,iot
html,is-a,markup-language
html,used-in,webapp
html,used-for,frontend
http,is-a,protocol
http,used-in,webapp
icon-font,is-a,graphic
icon-font,used-in,visuals
image-processing,is-a,field
image-processing,used-in,ai
image-processing,used-in,computer-vision
imagej,is-a,tool
imagej,used-in,research
imagej,used-in,scientific
imagej,used-for,image-processing
indieweb,is-a,under-revision
ios,is-a,operating-system
ios,used-in,mobile
ipfs,is-a,protocol
java,is-a,programming-language
javafx,is-a,library
javafx,used-in,desktop
javafx,used-in,mobile
javafx,used-in,embedded
javafx,used-for,ui-ux
javafx,works-with,java
javascript,is-a,programming-language
jekyll,is-a,under-revision
jekyll,used-in,webapp
jenkins,is-a,tool
jenkins,used-in,software-development
jenkins,used-for,automation
jenkins,used-for,cicd
jquery,is-a,library
jquery,used-in,webapp
jquery,used-for,frontend
jquery,works-with,javascript
js13kgames,is-a,competition
js13kgames,used-in,game
js13kgames,works-with,javascript
json,is-a,file-format
julia,is-a,programming-language
jupyter-notebook,is-a,under-revision
jwt,is-a,protocol
jwt,used-in,security
jwt,used-in,webapp
jwt,used-in,mobile
jwt,used-for,authentication
kentico-kontent,is-a,cms
kentico-kontent,is-a,as-a-service
kentico-kontent,used-in,webapp
kentico-kontent,used-in,mobile
kentico-kontent,used-for,manage
kerbal-space-program,is-a,application
kerbal-space-program,is-a,game
kerbal-space-program,used-in,entertainment
koa,is-a,framework
koa,used-in,webapp
koa,works-with,javascript
kotlin,is-a,programming-language
kubernetes,is-a,tool
kubernetes,used-in,software-development
kubernetes,used-for,automation
kubernetes,used-for,monitor
kubernetes,used-for,manage
laravel,is-a,framework
laravel,used-in,webapp
laravel,works-with,php
latex,is-a,application
latex,is-a,word-processor
less,is-a,style-sheet-language
less,used-for,visuals
libcloud,is-a,library
libcloud,used-in,cloud-computing
libcloud,works-with,python
liko-12,is-a,fantasy-console
liko-12,used-in,game
lineageos,is-a,operating-system
linux,is-a,operating-system
lisp,is-a,programming-language
llvm,is-a,compiler
llvm,used-in,software-development
localization,is-a,process
localization,used-in,software-development
lua,is-a,programming-language
ludum-dare,is-a,game-jam
ludum-dare,used-in,game
luvit,is-a,runtime-environment
luvit,used-in,software-development
luvit,works-with,lua
m3o,is-a,platform
m3o,used-in,cloud-computing
machine-learning,is-a,field
machine-learning,used-in,research
machine-learning,used-in,scientific
machine-learning,used-in,ai
macos,is-a,operating-system
mada,is-a,not-important
mahapps,is-a,framework
mahapps,used-in,desktop
mahapps,used-for,ui-ux
markdown,is-a,markup-language
mastodon,is-a,application
mastodon,is-a,social-network
mastodon,used-in,entertainment
material-design,is-a,framework
material-design,used-in,mobile
material-design,used-in,webapp
material-design,used-for,ui-ux
material-design,used-for,visuals
material-design-for-bootstrap,is-a,not-important
matlab,is-a,programming-language
maven,is-a,tool
maven,used-in,software-development
maven,used-for,automation
maven,works-with,java
maze,is-a,not-important
mediawiki,is-a,under-revision
microformats,is-a,markup-language
microformats,works-with,html
mikrotik,is-a,organization
mikrotik,used-in,network
minecraft,is-a,application
minecraft,is-a,game
minecraft,used-in,entertainment
mkdocs,is-a,tool
mkdocs,used-in,webapp
molecule,is-a,tool
molecule,used-in,software-development
molecule,used-for,testing
molecule,works-with,ansible
moleculer,is-a,framework
moleculer,used-in,webapp
moleculer,used-for,microservice
moleculer,works-with,javascript
monero,is-a,cryptocurrency
monero,used-in,blockchain
mongodb,is-a,dbms
mongodb,used-in,database
mongodb,used-for,nosql
mongoose,is-a,tool
mongoose,used-in,database
mongoose,used-for,modeling
mongoose,works-with,mongodb
monitoring,is-a,process
monitoring,used-in,software-development
mount-and-blade-bannerlord,is-a,application
mount-and-blade-bannerlord,is-a,game
mount-and-blade-bannerlord,used-in,entertainment
mvvmcross,is-a,framework
mvvmcross,used-in,mobile
mvvmcross,used-in,desktop
mvvmcross,used-in,webapp
mvvmcross,works-with,dotnet
myanimelist,is-a,database
myanimelist,is-a,forum
myanimelist,used-in,entertainment
mysql,is-a,dbms
mysql,used-in,database
mysql,used-for,relational
mysql,works-with,sql
nashville,is-a,not-important
nativescript,is-a,framework
nativescript,used-in,mobile
nativescript,works-with,javascript
neo,is-a,platform
neo,used-in,blockchain
neo4j,is-a,dbms
neo4j,used-in,database
neo4j,used-for,graph-based
neo4j,works-with,cypher
neovim,is-a,text-editor
neovim,used-in,software-development
nestjs,is-a,framework
nestjs,used-in,webapp
nestjs,used-for,backend
nestjs,works-with,javascript
netbox,is-a,tool
netbox,used-in,network
netbox,used-for,manage
netbox-plugin,is-a,addon
netbox-plugin,used-in,netbox
nette,is-a,framework
nette,used-in,webapp
nette,works-with,php
neural-network,is-a,field
neural-network,used-in,research
neural-network,used-in,scientific
neural-network,used-in,ai
nginx,is-a,server
nginx,used-in,under-revision
nim,is-a,programming-language
nlp,is-a,field
nlp,used-in,ai
nlp,used-in,research
nlp,used-in,scientific
nodejs,is-a,runtime-environment
nodejs,used-in,webapp
nodejs,used-in,desktop
nodejs,used-in,mobile
nodejs,works-with,javascript
nosql,is-a,database
npm,is-a,tool
npm,used-in,software-development
npm,used-for,manage
npm,works-with,nodejs
nuget,is-a,tool
nuget,used-in,software-development
nuget,used-for,manage
nuxt,is-a,framework
nuxt,used-in,webapp
nuxt,works-with,vue
objective-c,is-a,programming-language
ocaml,is-a,programming-language
online-judge,is-a,tool
online-judge,used-in,education
online-judge,used-for,grading
open-access,is-a,under-revision
open-data,is-a,under-revision
open-source,is-a,under-revision
opencv,is-a,library
opencv,used-in,computer-vision
openfin,is-a,not-important
opengl,is-a,api
opengl,used-in,hardware
opengl,used-for,visuals
p2p,is-a,under-revision
p2p,used-in,network
package-manager,is-a,tool
package-manager,used-in,software-development
package-manager,used-for,manage
parsing,is-a,tool
parsing,used-in,software-development
perl,is-a,programming-language
pharo,is-a,ide
pharo,is-a,programming-language
pharo,used-in,software-development
phaser,is-a,game-engine
phaser,used-in,game
php,is-a,programming-language
php-fusion,is-a,cms
php-fusion,works-with,php
phpunit,is-a,framework
phpunit,used-in,software-development
phpunit,used-for,testing
phpunit,works-with,php
pico-8,is-a,fantasy-console
pico-8,used-in,game
pihole,is-a,under-revision
pip,is-a,package-manager
pip,works-with,python
pixel-art,is-a,graphic
pixel-art,used-in,visuals
pixel-vision-8,is-a,fantasy-console
pixel-vision-8,used-in,game
pixiv,is-a,under-revision
pmmp,is-a,server
pmmp,used-in,game
pmmp,works-with,minecraft
ponylang,is-a,programming-language
portapps,is-a,not-important
postgresql,is-a,dbms
postgresql,used-in,database
postgresql,used-for,relational
pov-ray,is-a,tool
pov-ray,used-in,visuals
powershell,is-a,under-revision
privacy,is-a,concept
privacy,used-in,security
probot,is-a,framework
probot,used-in,software-development
probot,used-for,automation
probot,works-with,github
project-management,is-a,process
project-management,used-in,software-development
project-management,used-for,manage
publishing,is-a,process
purescript,is-a,programming-language
pwa,is-a,under-revision
pwa,used-in,webapp
python,is-a,programming-language
qmk,is-a,not-important
qt,is-a,framework
qt,used-in,desktop
qt,used-in,mobile
qt,used-for,ui-ux
r,is-a,programming-language
racket,is-a,programming-language
rails,is-a,framework
rails,used-in,webapp
rails,works-with,ruby
raku,is-a,programming-language
raspberry-pi,is-a,hardware
ratchet,is-a,library
ratchet,used-in,webapp
ratchet,works-with,php
react,is-a,library
react,used-in,webapp
react,used-in,mobile
react,used-for,ui-ux
react,works-with,javascript
react-native,is-a,framework
react-native,used-in,mobile
react-native,works-with,javascript
reactiveui,is-a,framework
reactiveui,works-with,dotnet
reactphp,is-a,library
reactphp,works-with,php
reason,is-a,programming-language
redis,is-a,under-revision
redux,is-a,library
redux,used-in,webapp
redux,used-in,mobile
redux,used-for,ui-ux
redux,works-with,javascript
reflex-frp,is-a,library
reflex-frp,works-with,haskell
rest-api,is-a,protocol
rest-api,used-in,webapp
rest-api,used-in,mobile
reverse-engineering,is-a,process
reverse-engineering,used-in,software-development
robotframework,is-a,framework
robotframework,used-in,automation
robotframework,used-for,testing
robotics,is-a,field
robotics,used-in,under-revision
roomba,is-a,not-important
ruby,is-a,programming-language
rust,is-a,programming-language
sass,is-a,style-sheet-language
sbml,is-a,file-format
scala,is-a,programming-language
scambaiting,is-a,not-important
scikit-learn,is-a,library
scikit-learn,used-in,ai
scikit-learn,used-in,machine-learning
scikit-learn,works-with,python
sdn,is-a,protocol
sdn,used-in,network
security,is-a,concept
server,is-a,under-revision
serverless,is-a,protocol
shell,is-a,tool
shell,works-with,cli
sitecore,is-a,cms
sketch,is-a,tool
sketch,used-in,visuals
sketch,works-with,macos
spacevim,is-a,text-editor
spring-boot,is-a,framework
spring-boot,used-for,microservice
spring-boot,works-with,java
sql,is-a,query-language
sql,used-in,database
sqlite,is-a,dbms
sqlite,used-in,database
sqlite,used-for,relational
ss13,is-a,application
ss13,is-a,game
ss13,used-in,entertainment
standard-ml,is-a,programming-language
storybook,is-a,ide
storybook,used-for,ui-ux
styled-components,is-a,library
styled-components,used-in,webapp
styled-components,used-in,mobile
styled-components,used-for,visuals
styled-components,works-with,react
sublime-text,is-a,text-editor
sublime-text,used-in,software-development
support,is-a,under-revision
support,used-in,software-development
svelte,is-a,framework
svelte,used-for,ui-ux
svelte,works-with,javascript
swift,is-a,programming-language
symfony,is-a,framework
symfony,used-in,webapp
symfony,works-with,php
synthetic-biology,is-a,field
synthetic-biology,used-in,research
synthetic-biology,used-in,scientific
tailwind,is-a,framework
tailwind,used-in,webapp
tailwind,used-for,ui-ux
tailwind,works-with,css
tbox,is-a,library
tbox,works-with,c
teeworlds,is-a,application
teeworlds,is-a,game
teeworlds,used-in,entertainment
telegram,is-a,application
telegram,used-in,chat
tensorflow,is-a,library
tensorflow,used-in,ai
terminal,is-a,cli
terminal,used-in,software-development
terraform,is-a,tool
terraform,used-in,software-development
terraform,used-for,automation
testing,is-a,process
testing,used-in,software-development
tex,is-a,word-processor
thelounge,is-a,application
thelounge,used-in,chat
threejs,is-a,library
threejs,is-a,api
threejs,used-in,webapp
threejs,used-for,visuals
threejs,works-with,javascript
tic-80,is-a,fantasy-console
tic-80,used-in,game
twitch,is-a,platform
twitch,used-in,game
twitter,is-a,application
twitter,used-in,social-network
typescript,is-a,programming-language
ubuntu,is-a,operating-system
umbraco,is-a,cms
umbraco,used-in,webapp
umbraco,works-with,aspnet
unigine,is-a,game-engine
unigine,used-in,game
unity,is-a,game-engine
unity,used-in,game
university-of-texas-arlington,is-a,organization
university-of-texas-arlington,used-in,education
unreal-engine,is-a,game-engine
unreal-engine,used-in,game
uportal,is-a,framework
uportal,used-in,education
uportal,used-for,portal
userscript,is-a,addon
userscript,used-in,browser
uwp,is-a,api
uwp,used-in,desktop
uwp,used-in,mobile
v,is-a,programming-language
vagrant,is-a,under-revision
vanilla-js,is-a,programming-language
vercel,is-a,platform
vercel,used-in,frontend
vertx,is-a,tool
vertx,used-in,webapp
vertx,works-with,java
vim,is-a,text-editor
virtual-reality,is-a,field
virtual-reality,used-in,visuals
visual-basic,is-a,programming-language
visual-studio-code,is-a,text-editor
viur,is-a,framework
vue,is-a,framework
vue,used-in,webapp
vue,works-with,javascript
wagtail,is-a,cms
web-assembly,is-a,protocol
web-components,is-a,under-revision
web-monetization,is-a,api
web-monetization,used-in,browser
web-monetization,works-with,javascript
webauthn,is-a,protocol
webauthn,used-in,security
webauthn,used-for,authentication
webextension,is-a,protocol
webextension,used-in,browser
webextension,used-for,addon
webpack,is-a,tool
webpack,used-in,webapp
webpack,used-for,under-revision
webpack,works-with,javascript
website,is-a,webapp
windows,is-a,operating-system
winforms,is-a,framework
winforms,used-in,desktop
winforms,used-for,ui-ux
wordplate,is-a,cms
wordplate,used-in,webapp
wordplate,works-with,wordpress
wordpress,is-a,cms
wordpress,used-in,webapp
wpf,is-a,framework
wpf,used-in,desktop
wpf,used-for,ui-ux
wpf,works-with,dotnet
xamarin,is-a,platform
xamarin,used-in,mobile
xcode,is-a,ide
xcode,works-with,macos
xmake,is-a,tool
xmake,used-in,software-development
xmake,used-for,automation
xml,is-a,file-format
yaml,is-a,file-format
yii,is-a,framework
yii,used-in,webapp
yii,works-with,php
zeit,is-a,organization
zeit,used-in,cloud-computing
zeplin,is-a,tool
zeplin,used-in,software-development
zeplin,used-in,ui-ux
zeplin,used-for,collaboration
zeronet,is-a,under-revision
zsh,is-a,cli
